Price,Title,Location,Bedrooms,Bathrooms,Parking,Scrape Date
6976800,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
12000000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
23000000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
28000000,3 Bedroom Apartment / Flat,Westlands,3,3,3,2026-02-21
18100000,3 Bedroom Apartment / Flat,Westlands,3,4,3,2026-02-21
27500000,4 Bedroom Apartment / Flat,Westlands,4,5,3,2026-02-21
35000000,5 Bedroom Apartment / Flat,Westlands,5,6,4,2026-02-21
17500000,3 Bedroom Apartment / Flat,Westlands,3,3,2,2026-02-21
8100000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
22550000,3 Bedroom Apartment / Flat,Westlands,3,4,2,2026-02-21
41000000,5 Bedroom Apartment / Flat,Westlands,5,5,2,2026-02-21
85000000,4 Bedroom Apartment / Flat,Westlands,4,5,3,2026-02-21
12300000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
12300000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
14000000,2 Bedroom Apartment / Flat,Westlands,2,3,2,2026-02-21
24610000,3 Bedroom Apartment / Flat,Westlands,3,4,2,2026-02-21
